Serial Number,Country,Risk Score (0-10),Category,Description
1,Global,2.3255017286206145,Global Indicator,No explanation provided
2,Global,0.44371026930511315,Global Trade Protectionism,No explanation provided
3,United States,2.804597084160477,Emerging Market Political Crisis,No explanation provided
4,China,3.403016418510111,Emerging Market Political Crisis,No explanation provided
5,Russia,1.0184578418751151,Emerging Market Political Crisis,No explanation provided
6,Germany,4.007212917707312,Emerging Market Political Crisis,No explanation provided
7,United Kingdom,3.3719675437006025,Emerging Market Political Crisis,No explanation provided
8,France,3.5914802927594995,Emerging Market Political Crisis,No explanation provided
9,Japan,2.878161709379517,Emerging Market Political Crisis,No explanation provided
10,India,4.954032578881027,Emerging Market Political Crisis,No explanation provided
11,Brazil,3.411576177268798,Emerging Market Political Crisis,No explanation provided
12,South Africa,4.157442280369758,Emerging Market Political Crisis,No explanation provided
13,Saudi Arabia,3.5299815690167646,Emerging Market Political Crisis,No explanation provided
14,Iran,3.9671978667432546,Emerging Market Political Crisis,No explanation provided
15,North Korea,4.684662218257339,Emerging Market Political Crisis,No explanation provided
16,South Korea,3.824805063490522,Emerging Market Political Crisis,No explanation provided
17,Ukraine,0.2183249772683904,Emerging Market Political Crisis,No explanation provided
18,Israel,3.193514380638016,Emerging Market Political Crisis,No explanation provided
19,Turkey,0.7239874493982257,Emerging Market Political Crisis,No explanation provided
20,Mexico,0.3457358140522476,Emerging Market Political Crisis,No explanation provided
21,Canada,4.036488608526402,Emerging Market Political Crisis,No explanation provided
22,Australia,3.422387024986739,Emerging Market Political Crisis,No explanation provided
23,United States,3.0660357764778574,Global Technology Decoupling,No explanation provided
24,China,2.7198779459745226,Global Technology Decoupling,No explanation provided
25,Russia,4.859772674329945,Global Technology Decoupling,No explanation provided
26,Germany,1.6803143782841472,Global Technology Decoupling,No explanation provided
27,United Kingdom,1.1049812851266698,Global Technology Decoupling,No explanation provided
28,France,3.865322676849214,Global Technology Decoupling,No explanation provided
29,Japan,2.3249598101511495,Global Technology Decoupling,No explanation provided
30,India,1.6771184215213697,Global Technology Decoupling,No explanation provided
31,Brazil,1.9797028831757308,Global Technology Decoupling,No explanation provided
32,South Africa,2.6011421321689783,Global Technology Decoupling,No explanation provided
33,Saudi Arabia,3.271558371258017,Global Technology Decoupling,No explanation provided
34,Iran,3.7686782268954655,Global Technology Decoupling,No explanation provided
35,North Korea,4.858561051787399,Global Technology Decoupling,No explanation provided
36,South Korea,4.047862143733518,Global Technology Decoupling,No explanation provided
37,Ukraine,2.7350467247515335,Global Technology Decoupling,No explanation provided
38,Israel,3.657217026369633,Global Technology Decoupling,No explanation provided
39,Turkey,2.564073461019023,Global Technology Decoupling,No explanation provided
40,Mexico,2.1717381592244207,Global Technology Decoupling,No explanation provided
41,Canada,0.2653213624570733,Global Technology Decoupling,No explanation provided
42,Australia,0.4519932098767765,Global Technology Decoupling,No explanation provided
43,United States,4.603264612955943,Major Terror Attacks,No explanation provided
44,China,3.628782287125232,Major Terror Attacks,No explanation provided
45,Russia,2.7998742408772337,Major Terror Attacks,No explanation provided
46,Germany,4.5265948052586165,Major Terror Attacks,No explanation provided
47,United Kingdom,1.53561729616415,Major Terror Attacks,No explanation provided
48,France,4.193362483265702,Major Terror Attacks,No explanation provided
49,Japan,1.0602873179869232,Major Terror Attacks,No explanation provided
50,India,0.08853337680970019,Major Terror Attacks,No explanation provided
51,Brazil,2.3891463077902437,Major Terror Attacks,No explanation provided
52,South Africa,3.284886859219177,Major Terror Attacks,No explanation provided
53,Saudi Arabia,4.474981867777325,Major Terror Attacks,No explanation provided
54,Iran,2.2424345361972824,Major Terror Attacks,No explanation provided
55,North Korea,4.302800387921363,Major Terror Attacks,No explanation provided
56,South Korea,2.6772124845433725,Major Terror Attacks,No explanation provided
57,Ukraine,4.878465100648198,Major Terror Attacks,No explanation provided
58,Israel,4.280823531583068,Major Terror Attacks,No explanation provided
59,Turkey,1.4926768604226042,Major Terror Attacks,No explanation provided
60,Mexico,0.7273472086354166,Major Terror Attacks,No explanation provided
61,Canada,3.124089556202538,Major Terror Attacks,No explanation provided
62,United States,4.312680690686642,European Fragmentation,No explanation provided
63,China,4.843487863984085,European Fragmentation,No explanation provided
64,Russia,1.4553183798855673,European Fragmentation,No explanation provided
